櫃員,櫃檯機號,交易時間,端末交易代號,交易代號,交易摘要,歸戶/歸戶編號/其他,借貸,更正記號,主管,交易金額,訊息代號
000055,1010,08:56:52,WSON,WSO,N,,0,0,,"0",F003
000055,1009,09:02:48,P20,P20,C,111-005-75512-3,1,0,,"110,000",P 00001
000055,1009,09:09:26,P10,P10,H,111-005-89312-3,0,0,,"300,030",P 00001
000055,1009,09:10:18,R33,R33,H,15900400012345,1,0,,"300,000",R 00033
000055,1009,09:11:58,P10,P10,H,111-001-01312-3,0,0,,"500,000",P 00001
000055,1009,09:12:51,P20,P20,H,111-005-70012-3,1,0,,"500,000",P 00001
000055,1009,09:16:26,K02I09,K02,I09,111-051-01012-3,,0,,"0",K 00023
000055,1009,09:16:35,K02I09,K02,I09,111-051-01112-3,,0,,"0",K 00023
000055,1009,09:16:44,K02I09,K02,I09,111-051-01112-3,,0,,"0",K 00023
000055,1009,09:16:51,K02I09,K02,I09,111-051-01212-3,,,,"0",
